"n_captures","crawl","subset"
"1796098643","CC-MAIN-2013-20","warc"
"2245773667","CC-MAIN-2013-48","warc"
"2301223474","CC-MAIN-2014-10","warc"
"2641371316","CC-MAIN-2014-15","warc"
"3608720876","CC-MAIN-2014-23","warc"
"2870692423","CC-MAIN-2014-35","warc"
"2979743543","CC-MAIN-2014-41","warc"
"3722131678","CC-MAIN-2014-42","warc"
"1948510433","CC-MAIN-2014-49","warc"
"2085977207","CC-MAIN-2014-52","warc"
"1826024103","CC-MAIN-2015-06","warc"
"1837196089","CC-MAIN-2015-11","warc"
"1646697534","CC-MAIN-2015-14","warc"
"2115818059","CC-MAIN-2015-18","warc"
"2015461448","CC-MAIN-2015-22","warc"
"1675619098","CC-MAIN-2015-27","warc"
"1815492409","CC-MAIN-2015-32","warc"
"1848022475","CC-MAIN-2015-35","warc"
"1321987379","CC-MAIN-2015-40","warc"
"1824170527","CC-MAIN-2015-48","warc"
"1733285122","CC-MAIN-2016-07","warc"
"1335046923","CC-MAIN-2016-18","warc"
"1466220798","CC-MAIN-2016-22","warc"
"1236815660","CC-MAIN-2016-26","warc"
"1737322304","CC-MAIN-2016-30","warc"
"474119551","CC-MAIN-2016-36","crawldiagnostics"
"201464778","CC-MAIN-2016-36","robotstxt"
"1611613090","CC-MAIN-2016-36","warc"
"266060206","CC-MAIN-2016-40","crawldiagnostics"
"176024151","CC-MAIN-2016-40","robotstxt"
"1722656393","CC-MAIN-2016-40","warc"
"588561161","CC-MAIN-2016-44","crawldiagnostics"
"208585569","CC-MAIN-2016-44","robotstxt"
"3254976731","CC-MAIN-2016-44","warc"
"346839733","CC-MAIN-2016-50","crawldiagnostics"
"69998792","CC-MAIN-2016-50","robotstxt"
"2874631660","CC-MAIN-2016-50","warc"
"347972767","CC-MAIN-2017-04","crawldiagnostics"
"72422130","CC-MAIN-2017-04","robotstxt"
"3146467312","CC-MAIN-2017-04","warc"
"1221038291","CC-MAIN-2017-09","crawldiagnostics"
"92170233","CC-MAIN-2017-09","robotstxt"
"3084165319","CC-MAIN-2017-09","warc"
"499260503","CC-MAIN-2017-13","crawldiagnostics"
"73219946","CC-MAIN-2017-13","robotstxt"
"3070663610","CC-MAIN-2017-13","warc"
"530052067","CC-MAIN-2017-17","crawldiagnostics"
"77455319","CC-MAIN-2017-17","robotstxt"
"2942879945","CC-MAIN-2017-17","warc"
"848913563","CC-MAIN-2017-22","crawldiagnostics"
"81032616","CC-MAIN-2017-22","robotstxt"
"2967174165","CC-MAIN-2017-22","warc"
"667377280","CC-MAIN-2017-26","crawldiagnostics"
"92728876","CC-MAIN-2017-26","robotstxt"
"3165214086","CC-MAIN-2017-26","warc"
"1274440384","CC-MAIN-2017-30","crawldiagnostics"
"109318034","CC-MAIN-2017-30","robotstxt"
"2892213652","CC-MAIN-2017-30","warc"
"511632666","CC-MAIN-2017-34","crawldiagnostics"
"88763738","CC-MAIN-2017-34","robotstxt"
"3280080910","CC-MAIN-2017-34","warc"
"770877105","CC-MAIN-2017-39","crawldiagnostics"
"120663372","CC-MAIN-2017-39","robotstxt"
"3017180563","CC-MAIN-2017-39","warc"
"983462945","CC-MAIN-2017-43","crawldiagnostics"
"120417093","CC-MAIN-2017-43","robotstxt"
"3650430218","CC-MAIN-2017-43","warc"
"823216384","CC-MAIN-2017-47","crawldiagnostics"
"112530900","CC-MAIN-2017-47","robotstxt"
"3204943573","CC-MAIN-2017-47","warc"
"466069555","CC-MAIN-2017-51","crawldiagnostics"
"92468602","CC-MAIN-2017-51","robotstxt"
"2914004423","CC-MAIN-2017-51","warc"
"995223854","CC-MAIN-2018-05","crawldiagnostics"
"119863741","CC-MAIN-2018-05","robotstxt"
"3464537205","CC-MAIN-2018-05","warc"
"621340502","CC-MAIN-2018-09","crawldiagnostics"
"152086365","CC-MAIN-2018-09","robotstxt"
"3488463319","CC-MAIN-2018-09","warc"
"728928504","CC-MAIN-2018-13","crawldiagnostics"
"153295423","CC-MAIN-2018-13","robotstxt"
"3232738018","CC-MAIN-2018-13","warc"
"647001388","CC-MAIN-2018-17","crawldiagnostics"
"146968930","CC-MAIN-2018-17","robotstxt"
"3101353989","CC-MAIN-2018-17","warc"
"652416087","CC-MAIN-2018-22","crawldiagnostics"
"139934969","CC-MAIN-2018-22","robotstxt"
"2788388007","CC-MAIN-2018-22","warc"
"659759630","CC-MAIN-2018-26","crawldiagnostics"
"144324845","CC-MAIN-2018-26","robotstxt"
"3069414247","CC-MAIN-2018-26","warc"
"835803438","CC-MAIN-2018-30","crawldiagnostics"
"153299686","CC-MAIN-2018-30","robotstxt"
"3263958200","CC-MAIN-2018-30","warc"
"762294324","CC-MAIN-2018-34","crawldiagnostics"
"131146532","CC-MAIN-2018-34","robotstxt"
"2686323358","CC-MAIN-2018-34","warc"
"752568350","CC-MAIN-2018-39","crawldiagnostics"
"133537135","CC-MAIN-2018-39","robotstxt"
"2841194829","CC-MAIN-2018-39","warc"
"657462400","CC-MAIN-2018-43","crawldiagnostics"
"144501112","CC-MAIN-2018-43","robotstxt"
"3041784523","CC-MAIN-2018-43","warc"
"591746136","CC-MAIN-2018-47","crawldiagnostics"
"141182960","CC-MAIN-2018-47","robotstxt"
"2646568544","CC-MAIN-2018-47","warc"
"605321481","CC-MAIN-2018-51","crawldiagnostics"
"157115009","CC-MAIN-2018-51","robotstxt"
"3164247635","CC-MAIN-2018-51","warc"
"586900131","CC-MAIN-2019-04","crawldiagnostics"
"126186626","CC-MAIN-2019-04","robotstxt"
"2889726642","CC-MAIN-2019-04","warc"
"620795248","CC-MAIN-2019-09","crawldiagnostics"
"115585183","CC-MAIN-2019-09","robotstxt"
"2913733422","CC-MAIN-2019-09","warc"
"573010958","CC-MAIN-2019-13","crawldiagnostics"
"117568983","CC-MAIN-2019-13","robotstxt"
"2569681845","CC-MAIN-2019-13","warc"
"560699139","CC-MAIN-2019-18","crawldiagnostics"
"108944092","CC-MAIN-2019-18","robotstxt"
"2497818607","CC-MAIN-2019-18","warc"
"601351071","CC-MAIN-2019-22","crawldiagnostics"
"114522962","CC-MAIN-2019-22","robotstxt"
"2679746250","CC-MAIN-2019-22","warc"
"473465981","CC-MAIN-2019-26","crawldiagnostics"
"96289318","CC-MAIN-2019-26","robotstxt"
"2594261117","CC-MAIN-2019-26","warc"
"507069430","CC-MAIN-2019-30","crawldiagnostics"
"95867159","CC-MAIN-2019-30","robotstxt"
"2594798375","CC-MAIN-2019-30","warc"
"549086695","CC-MAIN-2019-35","crawldiagnostics"
"114288852","CC-MAIN-2019-35","robotstxt"
"2954836065","CC-MAIN-2019-35","warc"
"524103386","CC-MAIN-2019-39","crawldiagnostics"
"93066253","CC-MAIN-2019-39","robotstxt"
"2561062912","CC-MAIN-2019-39","warc"
"540987975","CC-MAIN-2019-43","crawldiagnostics"
"94431883","CC-MAIN-2019-43","robotstxt"
"3019036529","CC-MAIN-2019-43","warc"
"484446922","CC-MAIN-2019-47","crawldiagnostics"
"111774000","CC-MAIN-2019-47","robotstxt"
"2590595173","CC-MAIN-2019-47","warc"
"478273734","CC-MAIN-2019-51","crawldiagnostics"
"108210448","CC-MAIN-2019-51","robotstxt"
"2471904965","CC-MAIN-2019-51","warc"
